iter	Passed	Remaining
0	19	7602
1	37	7442
2	55	7309
3	72	7191
4	90	7182
5	109	7166
6	127	7140
7	146	7175
8	167	7262
9	188	7348
10	209	7425
11	232	7506
12	255	7618
13	274	7575
14	292	7516
15	311	7465
16	329	7422
17	348	7387
18	365	7334
19	385	7322
20	404	7302
21	423	7277
22	443	7261
23	462	7253
24	481	7223
25	502	7227
26	521	7202
27	539	7170
28	559	7162
29	579	7148
30	598	7124
31	616	7091
32	635	7066
33	653	7039
34	673	7020
35	690	6986
36	709	6959
37	727	6931
38	745	6902
39	764	6880
40	782	6849
41	800	6826
42	817	6786
43	836	6767
44	855	6746
45	873	6725
46	892	6704
47	910	6680
48	929	6660
49	949	6647
50	968	6626
51	986	6604
52	1005	6583
53	1023	6560
54	1041	6534
55	1059	6511
56	1079	6494
57	1098	6475
58	1117	6460
59	1138	6451
60	1160	6447
61	1180	6434
62	1202	6430
63	1221	6415
64	1242	6405
65	1264	6399
66	1286	6395
67	1307	6382
68	1328	6374
69	1348	6358
70	1366	6333
71	1386	6317
72	1408	6309
73	1430	6302
74	1453	6298
75	1475	6290
76	1496	6277
77	1517	6263
78	1538	6250
79	1560	6240
80	1582	6230
81	1603	6218
82	1623	6202
83	1645	6188
84	1666	6175
85	1687	6159
86	1706	6140
87	1726	6122
88	1748	6109
89	1768	6092
90	1788	6073
91	1807	6050
92	1825	6027
93	1843	6002
94	1863	5981
95	1881	5959
96	1900	5936
97	1918	5913
98	1938	5892
99	1955	5867
100	1974	5844
101	1992	5820
102	2010	5798
103	2029	5777
104	2047	5753
105	2066	5731
106	2085	5710
107	2104	5688
108	2122	5665
109	2140	5642
110	2158	5620
111	2177	5598
112	2195	5576
113	2215	5556
114	2233	5535
115	2251	5512
116	2269	5489
117	2287	5467
118	2306	5447
119	2325	5426
120	2345	5407
121	2363	5385
122	2382	5365
123	2402	5346
124	2420	5324
125	2437	5301
126	2455	5277
127	2473	5255
128	2491	5233
129	2509	5212
130	2527	5189
131	2545	5168
132	2564	5147
133	2583	5128
134	2602	5107
135	2621	5087
136	2640	5068
137	2657	5046
138	2676	5024
139	2694	5003
140	2713	4983
141	2732	4963
142	2749	4941
143	2767	4919
144	2784	4897
145	2803	4876
146	2820	4854
147	2838	4833
148	2857	4813
149	2874	4791
150	2892	4769
151	2910	4748
152	2929	4729
153	2947	4708
154	2966	4688
155	2983	4666
156	3000	4643
157	3017	4621
158	3034	4600
159	3053	4580
160	3071	4558
161	3089	4538
162	3107	4517
163	3125	4497
164	3143	4476
165	3160	4455
166	3179	4435
167	3196	4413
168	3213	4392
169	3231	4372
170	3252	4355
171	3269	4333
172	3287	4313
173	3305	4293
174	3322	4272
175	3340	4251
176	3358	4231
177	3376	4211
178	3395	4192
179	3414	4173
180	3433	4154
181	3451	4134
182	3469	4113
183	3487	4093
184	3505	4074
185	3524	4054
186	3543	4035
187	3561	4015
188	3579	3996
189	3598	3977
190	3617	3958
191	3637	3940
192	3656	3921
193	3675	3902
194	3692	3882
195	3710	3861
196	3728	3841
197	3746	3821
198	3764	3802
199	3783	3783
200	3801	3763
201	3818	3742
202	3835	3722
203	3854	3703
204	3873	3684
205	3891	3664
206	3908	3644
207	3926	3624
208	3943	3604
209	3961	3584
210	3978	3563
211	3996	3544
212	4014	3524
213	4031	3504
214	4049	3484
215	4066	3464
216	4085	3445
217	4102	3425
218	4119	3404
219	4136	3384
220	4153	3364
221	4172	3345
222	4190	3325
223	4208	3306
224	4226	3287
225	4243	3267
226	4261	3247
227	4278	3228
228	4296	3208
229	4314	3189
230	4332	3169
231	4350	3150
232	4368	3131
233	4386	3111
234	4405	3092
235	4422	3073
236	4439	3053
237	4458	3034
238	4476	3015
239	4495	2996
240	4513	2978
241	4532	2958
242	4550	2939
243	4568	2920
244	4585	2901
245	4603	2882
246	4622	2863
247	4639	2843
248	4658	2824
249	4675	2805
250	4693	2786
251	4711	2766
252	4729	2748
253	4748	2729
254	4766	2710
255	4786	2692
256	4804	2673
257	4823	2654
258	4843	2636
259	4861	2617
260	4881	2599
261	4899	2580
262	4917	2561
263	4934	2542
264	4952	2523
265	4971	2504
266	4988	2485
267	5006	2466
268	5024	2446
269	5041	2427
270	5059	2408
271	5077	2389
272	5095	2370
273	5112	2350
274	5130	2332
275	5148	2313
276	5167	2294
277	5186	2275
278	5205	2257
279	5223	2238
280	5241	2219
281	5259	2200
282	5277	2181
283	5296	2163
284	5314	2144
285	5332	2125
286	5350	2106
287	5367	2087
288	5384	2068
289	5402	2049
290	5421	2030
291	5438	2011
292	5455	1992
293	5473	1973
294	5490	1954
295	5509	1935
296	5527	1916
297	5546	1898
298	5565	1880
299	5583	1861
300	5601	1842
301	5620	1823
302	5638	1805
303	5656	1786
304	5673	1767
305	5690	1748
306	5709	1729
307	5726	1710
308	5745	1692
309	5763	1673
310	5781	1654
311	5800	1636
312	5820	1617
313	5839	1599
314	5856	1580
315	5874	1561
316	5892	1542
317	5910	1523
318	5928	1505
319	5945	1486
320	5963	1467
321	5981	1448
322	5999	1430
323	6017	1411
324	6034	1392
325	6051	1373
326	6069	1354
327	6087	1336
328	6104	1317
329	6122	1298
330	6140	1279
331	6158	1261
332	6176	1242
333	6194	1223
334	6211	1205
335	6228	1186
336	6247	1167
337	6265	1149
338	6283	1130
339	6302	1112
340	6319	1093
341	6337	1074
342	6355	1056
343	6373	1037
344	6390	1018
345	6408	1000
346	6426	981
347	6443	962
348	6461	944
349	6479	925
350	6496	906
351	6514	888
352	6532	869
353	6550	851
354	6569	832
355	6587	814
356	6605	795
357	6623	777
358	6641	758
359	6660	740
360	6677	721
361	6695	702
362	6712	684
363	6729	665
364	6747	647
365	6765	628
366	6783	609
367	6801	591
368	6819	572
369	6836	554
370	6854	535
371	6872	517
372	6890	498
373	6909	480
374	6929	461
375	6947	443
376	6965	424
377	6984	406
378	7003	388
379	7022	369
380	7041	351
381	7059	332
382	7076	314
383	7095	295
384	7113	277
385	7131	258
386	7149	240
387	7166	221
388	7184	203
389	7202	184
390	7220	166
391	7237	147
392	7254	129
393	7272	110
394	7290	92
395	7308	73
396	7324	55
397	7343	36
398	7363	18
399	7383	0
